id,name,tf,is_pf,is_ret,is_dd,is_trades,oos_pf,oos_ret,oos_dd,oos_trades,full_pf,full_ret,full_dd,full_sharpe
tsm60_ls_vt,TSM 60д L/S + таргет vol 20%,4h,2.409030642470515,7.774899715861716,4.553916928519882,12,1.8300091076973266,5.964904358382062,4.407572342162793,15,2.0786679734089897,45.55351251402347,13.995846236672179,0.8652029833123052
gc50200,Golden cross SMA50/200,4h,3.957287181580713,6.902319887372332,1.6393909244897,8,0.6346038495961651,-0.8046047046547988,2.2153809659520536,8,1.92104874374193,15.761297715476008,8.027157793829131,0.6477389890327786
gc50200_adx,Golden cross SMA50/200 + ADX>25,4h,3.5250523081834984,5.901742077026384,1.9459572410727957,8,0.9648748095230726,-0.058053754041953454,1.989963296199092,8,1.9791712367934333,14.993165216626036,6.950130320804543,0.6376605999036091
gc_ema,Golden cross EMA50/200 + ADX>20,4h,3.8323689249804755,6.599991039913866,1.6393909244897,8,0.6977016311738153,-0.6061930339791299,2.2153809659520536,8,1.9724669614767496,15.652607914327522,7.228539861224342,0.6486328943210405
don100,Donchian 100 вход / 30 выход,4h,1.7309826716699523,2.2326851939271863,2.779202955257851,10,1.0978017246159306,0.18973362225180868,2.2856064854801685,9,1.3927357511932204,7.524247094160619,7.298309715786957,0.4198408373642987
don100_adx,Donchian 100 + ADX>25,4h,1.5548482222785942,1.4391102900274122,2.1293028357364983,9,1.5086839587234013,0.7076454986591152,1.5443955890618286,8,1.5549184475674689,8.751830686902151,7.063386599304128,0.5058402755488574
bbfade_lo,"BB-fade long-only (EMA200, RSI2<20)",4h,0.4302564557258038,-1.420181163534362,1.4214532200533303,23,0.6825197786257409,-0.16823898929556602,0.49008649911481833,9,0.5376333726349993,-4.981011393599255,5.389041263053741,-0.9290938720091728
pullback,Pullback EMA20 в тренде EMA200,4h,1.0249848190913948,0.2286480738258545,3.7876663263472485,102,0.6889315315598528,-1.335226784172172,2.4993239388295576,52,1.1267771310185044,5.5706699665041715,6.144892007781495,0.3224051464473685
tsm45_ls_1h,TSM 45д L/S на 1h,1h,1.420072446649953,1.5144239119460945,2.9641757852666446,25,1.3716192787273744,1.391110283601238,3.2779150061297653,18,1.2356647720867284,6.840063279053754,7.338463485726873,0.34135034248683654
tsm60_lo_1h,TSM 60д long-only на 1h,1h,1.3548423972993064,0.5320230453328856,1.368981309994074,8,2.840608125518585,2.0735835591629836,1.9510752819797892,9,2.5614862185888256,12.965010842171143,3.7164124062132347,1.0100494845317862
tsm45_hyst,TSM 45д L/S + гистерезис (2%/1%),4h,2.01802765830552,4.48078492475561,3.36357913122465,39,1.4335786391783503,2.426435117873438,3.913283469986653,34,1.4082086478680267,15.422868317791227,7.760990705043939,0.5139031640382558
tsm60_hyst,TSM 60д L/S + гистерезис (2%/1%),4h,1.743952441933416,3.998937238823763,3.4427332609663535,26,1.4291710319142734,2.00480114222803,2.6516246123668497,26,1.7636641800258317,23.91944103658028,9.096962398631092,0.7495356061194022
tsm45_adx,TSM 45д L/S + ADX>20 на входах,4h,2.3193530886096934,4.931654129017149,2.8512759505227017,21,1.7752283348354663,3.3771359425003977,3.8242088464663717,18,1.4465012058345141,15.317143145574441,8.20270104360726,0.49877687090997985
rsi2_trend,RSI(2)<10 в тренде EMA200 (4h),4h,0.5361958302280843,-1.63703370982492,1.932487124740306,52,0.7253896492800954,-0.290401087708414,0.4820813794035517,22,0.6009793699844816,-6.572217002684944,7.004969999776489,-0.9764100122204789
shock_dip,Шок-дип −15% от 100-бар max + RSI2<5 (4h),4h,2.897535048846313,1.1022218594576305,0.6353124859921451,4,0.22611916983334052,-1.4626286400017174,1.8617910618048232,6,1.4724951790516747,5.389283650546961,1.927841599917025,0.509571709667994
academy_hybrid_mtf,Academy Hybrid MTF (EMA50/200 + sweep + VSA),4h,2.3092306292580536,1.3598606714792627,0.5015334346219606,12,0.49576700827062903,-1.0512284046367282,1.3814310002874748,16,1.4128883735495783,3.6707162185486863,2.4711940053990538,0.3784903925863516
